slug,h1,group,city_focus,published,words,similarity_to_group_representative,exact_duplicate_in_group,current_index_status,suggested_disposition,suggested_target,reason
plumber-cost-kzn,How much does a plumber cost in KwaZulu-Natal?,Costs & Pricing,KwaZulu-Natal,true,695,0.565,false,legacy_unclassified,keep_review,/,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
plumber-hourly-rate-kzn,What is the average hourly rate for a plumber in KZN?,Costs & Pricing,KwaZulu-Natal,true,653,0.444,false,legacy_unclassified,keep_review,/,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
solar-geyser-installation-cost-kzn,How much does solar geyser installation cost in KZN?,Costs & Pricing,KwaZulu-Natal,true,792,1.000,false,legacy_unclassified,keep_review,/services/geyser-repair,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
toilet-repair-cost-kzn,How much does a toilet repair cost in KwaZulu-Natal?,Costs & Pricing,KwaZulu-Natal,true,768,0.342,false,legacy_unclassified,keep_review,/,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
diy-plumbing-south-africa,Is it illegal to do your own plumbing in South Africa?,Certification & Compliance,KwaZulu-Natal,true,728,0.663,false,legacy_unclassified,keep_review,/,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
ethekwini-plumbing-bylaw-durban,What are the plumbing bylaws in eThekwini (Durban)?,Certification & Compliance,Durban,true,675,0.465,false,legacy_unclassified,keep_review,/plumbers/durban,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
nbr-plumbing-south-africa,What is the National Building Regulations for plumbing in South Africa?,Certification & Compliance,KwaZulu-Natal,true,706,0.634,false,legacy_unclassified,keep_review,/,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
plumbing-permit-kzn,What permits are needed for new plumbing in KZN?,Certification & Compliance,KwaZulu-Natal,true,639,0.536,false,legacy_unclassified,keep_review,/,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
pirb-registered-plumber-explained,What is a PIRB-registered plumber in South Africa?,Certification & Compliance,KwaZulu-Natal,true,590,0.647,false,legacy_unclassified,keep_review,/,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
plumber-qualifications-south-africa,What qualifications must a plumber have in South Africa?,Certification & Compliance,KwaZulu-Natal,true,616,0.646,false,legacy_unclassified,keep_review,/,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
plumbing-coc-house-sale-kzn,Do I need a plumbing COC when selling my house in KZN?,Certification & Compliance,KwaZulu-Natal,true,629,0.633,false,legacy_unclassified,keep_review,/,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
report-bad-plumber-kzn,How do I report a plumbing violation in KwaZulu-Natal?,Certification & Compliance,KwaZulu-Natal,true,713,0.603,false,legacy_unclassified,keep_review,/,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
section-10-plumbing-inspection-kzn,What is a Section 10 plumbing inspection in KwaZulu-Natal?,Certification & Compliance,KwaZulu-Natal,true,672,0.634,false,legacy_unclassified,keep_review,/,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
unlicensed-plumber-kzn-risks,What happens if I hire an unlicensed plumber in KZN?,Certification & Compliance,KwaZulu-Natal,true,734,1.000,false,legacy_unclassified,keep_review,/,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
find-certified-plumber-ballito,Find a Certified Plumber in Ballito — KZN Plumbers,City Landing,Ballito,true,641,0.695,false,legacy_unclassified,keep_review,/plumbers/ballito-north-coast,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
find-certified-plumber-durban,Find a Certified Plumber in Durban — KZN Plumbers Directory,City Landing,Durban,true,847,1.000,false,legacy_unclassified,keep_review,/plumbers/durban,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
find-certified-plumber-hillcrest,Find a Certified Plumber in Hillcrest — KZN Plumbers,City Landing,Hillcrest,true,586,0.648,false,legacy_unclassified,keep_review,/plumbers/pinetown-hillcrest,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
find-certified-plumber-kzn-south-coast,Find a Certified Plumber on the KZN South Coast,City Landing,KZN South Coast,true,680,0.598,false,legacy_unclassified,keep_review,/plumbers/south-coast,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
find-certified-plumber-newcastle-kzn,Find a Certified Plumber in Newcastle KZN — KZN Plumbers,City Landing,Newcastle,true,585,0.591,false,legacy_unclassified,keep_review,/plumbers/newcastle,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
find-certified-plumber-pietermaritzburg,Find a Certified Plumber in Pietermaritzburg — KZN Plumbers,City Landing,Pietermaritzburg,true,684,0.707,false,legacy_unclassified,keep_review,/plumbers/pietermaritzburg,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
find-certified-plumber-pinetown,Find a Certified Plumber in Pinetown — KZN Plumbers,City Landing,Pinetown,true,582,0.708,false,legacy_unclassified,keep_review,/plumbers/pinetown-hillcrest,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
find-certified-plumber-port-shepstone,Find a Certified Plumber in Port Shepstone — KZN Plumbers,City Landing,Port Shepstone,true,609,0.595,false,legacy_unclassified,keep_review,/plumbers/south-coast,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
find-certified-plumber-richards-bay,Find a Certified Plumber in Richards Bay — KZN Plumbers,City Landing,Richards Bay,true,652,0.630,false,legacy_unclassified,keep_review,/plumbers/richards-bay,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
find-certified-plumber-umhlanga,Find a Certified Plumber in Umhlanga — KZN Plumbers,City Landing,Umhlanga,true,658,0.714,false,legacy_unclassified,keep_review,/plumbers/durban,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
gas-geyser-installation-kzn,Who installs gas geysers in KwaZulu-Natal?,Geyser Services,KwaZulu-Natal,true,640,0.429,false,legacy_unclassified,keep_review,/services/geyser-repair,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
geyser-coc-kzn,What is a geyser Certificate of Compliance in KZN?,Geyser Services,KwaZulu-Natal,true,680,0.592,false,legacy_unclassified,keep_review,/services/geyser-repair,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
geyser-insurance-claim-south-africa,Can I claim for geyser replacement on home insurance in South Africa?,Geyser Services,KwaZulu-Natal,true,660,0.644,false,legacy_unclassified,keep_review,/services/geyser-repair,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
geyser-repair-durban,Who repairs geysers in Durban?,Geyser Services,Durban,true,637,0.738,false,legacy_unclassified,keep_review,/plumbers/durban,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
geyser-replacement-cost-kzn,How much does geyser replacement cost in KZN?,Geyser Services,KwaZulu-Natal,true,629,0.653,false,legacy_unclassified,keep_review,/services/geyser-repair,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
geyser-service-interval-sa,How often should a geyser be serviced in South Africa?,Geyser Services,KwaZulu-Natal,true,681,0.709,false,legacy_unclassified,keep_review,/services/geyser-repair,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
heat-pump-geyser-durban,Who installs heat pump geysers in Durban?,Geyser Services,Durban,true,624,0.279,false,legacy_unclassified,keep_review,/plumbers/durban,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
heat-pump-vs-solar-geyser-kzn,What is the difference between a heat pump and solar geyser in KZN?,Geyser Services,KwaZulu-Natal,true,630,0.343,false,legacy_unclassified,keep_review,/services/geyser-repair,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
signs-geyser-needs-replacing-kzn,What are the signs my geyser needs replacing in KZN?,Geyser Services,KwaZulu-Natal,true,802,1.000,false,legacy_unclassified,keep_review,/services/geyser-repair,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
solar-geyser-installation-kzn,Who installs solar geysers in KwaZulu-Natal?,Geyser Services,KwaZulu-Natal,true,683,0.570,false,legacy_unclassified,keep_review,/services/geyser-repair,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
drain-durban,Drain Cleaning in Durban,Landing Pages/drain,Durban,true,345,0.870,false,legacy_unclassified,merge_review,/plumbers/durban,High template similarity and limited unique depth.
drain-durban-north,Drain Cleaning in Durban North,Landing Pages/drain,Durban North,true,292,0.798,false,legacy_unclassified,keep_review,/plumbers/durban,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
drain-durban-south,Drain Cleaning in Durban South,Landing Pages/drain,Durban South,true,292,0.798,false,legacy_unclassified,keep_review,/plumbers/durban,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
drain-amanzimtoti,Drain Cleaning in Amanzimtoti,Landing Pages/drain,Amanzimtoti,true,279,0.881,false,legacy_unclassified,merge_review,/services/blocked-drains,High template similarity and limited unique depth.
drain-durbanville,Drain Cleaning in Durbanville,Landing Pages/drain,Durbanville,true,200,0.805,false,legacy_unclassified,remove_review,,Outside the KwaZulu-Natal proposition.
drain-ballito,Drain Cleaning in Ballito,Landing Pages/drain,Ballito,true,279,0.881,false,legacy_unclassified,merge_review,/plumbers/ballito-north-coast,High template similarity and limited unique depth.
drain-berea,Drain Cleaning in Berea,Landing Pages/drain,Berea,true,221,0.861,false,legacy_unclassified,merge_review,/plumbers/durban,High template similarity and limited unique depth.
drain-bluff,Drain Cleaning in Bluff,Landing Pages/drain,Bluff,true,221,0.861,false,legacy_unclassified,merge_review,/services/blocked-drains,High template similarity and limited unique depth.
drain-chatsworth,Drain Cleaning in Chatsworth,Landing Pages/drain,Chatsworth,true,221,0.861,false,legacy_unclassified,merge_review,/services/blocked-drains,High template similarity and limited unique depth.
drain-empangeni,Drain Cleaning in Empangeni,Landing Pages/drain,Empangeni,true,221,0.861,false,legacy_unclassified,merge_review,/plumbers/richards-bay,High template similarity and limited unique depth.
drain-gillitts,Drain Cleaning in Gillitts,Landing Pages/drain,Gillitts,true,221,0.861,false,legacy_unclassified,merge_review,/services/blocked-drains,High template similarity and limited unique depth.
drain-hibiscus-coast-kzn-south-coast,Drain Cleaning in Hibiscus Coast / KZN South Coast,Landing Pages/drain,Hibiscus Coast / KZN South Coast,true,249,0.660,false,legacy_unclassified,keep_review,/plumbers/south-coast,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
drain-hillcrest,Drain Cleaning in Hillcrest,Landing Pages/drain,Hillcrest,true,360,1.000,false,legacy_unclassified,merge_review,/plumbers/pinetown-hillcrest,High template similarity and limited unique depth.
drain-hilton,Drain Cleaning in Hilton,Landing Pages/drain,Hilton,true,221,0.861,false,legacy_unclassified,merge_review,/plumbers/pietermaritzburg,High template similarity and limited unique depth.
drain-howick,Drain Cleaning in Howick,Landing Pages/drain,Howick,true,221,0.861,false,legacy_unclassified,merge_review,/plumbers/pietermaritzburg,High template similarity and limited unique depth.
drain-isipingo,Drain Cleaning in Isipingo,Landing Pages/drain,Isipingo,true,221,0.861,false,legacy_unclassified,merge_review,/services/blocked-drains,High template similarity and limited unique depth.
drain-kloof,Drain Cleaning in Kloof,Landing Pages/drain,Kloof,true,221,0.861,false,legacy_unclassified,merge_review,/plumbers/pinetown-hillcrest,High template similarity and limited unique depth.
drain-kwazulu-natal,Drain Cleaning in KwaZulu-Natal,Landing Pages/drain,KwaZulu-Natal,true,312,0.871,false,legacy_unclassified,merge_review,/services/blocked-drains,High template similarity and limited unique depth.
drain-la-lucia,Drain Cleaning in La Lucia,Landing Pages/drain,La Lucia,true,230,0.861,false,legacy_unclassified,merge_review,/services/blocked-drains,High template similarity and limited unique depth.
drain-margate,Drain Cleaning in Margate,Landing Pages/drain,Margate,true,221,0.861,false,legacy_unclassified,merge_review,/plumbers/south-coast,High template similarity and limited unique depth.
drain-morningside,Drain Cleaning in Morningside,Landing Pages/drain,Morningside,true,221,0.861,false,legacy_unclassified,merge_review,/plumbers/durban,High template similarity and limited unique depth.
drain-mount-edgecombe,Drain Cleaning in Mount Edgecombe,Landing Pages/drain,Mount Edgecombe,true,230,0.794,false,legacy_unclassified,keep_review,/services/blocked-drains,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
drain-musgrave,Drain Cleaning in Musgrave,Landing Pages/drain,Musgrave,true,221,0.861,false,legacy_unclassified,merge_review,/services/blocked-drains,High template similarity and limited unique depth.
drain-new-germany,Drain Cleaning in New Germany,Landing Pages/drain,New Germany,true,230,0.794,false,legacy_unclassified,keep_review,/services/blocked-drains,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
drain-newcastle,Drain Cleaning in Newcastle,Landing Pages/drain,Newcastle,true,279,0.881,false,legacy_unclassified,merge_review,/plumbers/newcastle,High template similarity and limited unique depth.
drain-pietermaritzburg,Drain Cleaning in Pietermaritzburg,Landing Pages/drain,Pietermaritzburg,true,279,0.881,false,legacy_unclassified,merge_review,/plumbers/pietermaritzburg,High template similarity and limited unique depth.
drain-pinetown,Drain Cleaning in Pinetown,Landing Pages/drain,Pinetown,true,279,0.881,false,legacy_unclassified,merge_review,/plumbers/pinetown-hillcrest,High template similarity and limited unique depth.
drain-port-shepstone,Drain Cleaning in Port Shepstone,Landing Pages/drain,Port Shepstone,true,230,0.794,false,legacy_unclassified,keep_review,/plumbers/south-coast,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
drain-queensburgh,Drain Cleaning in Queensburgh,Landing Pages/drain,Queensburgh,true,221,0.861,false,legacy_unclassified,merge_review,/services/blocked-drains,High template similarity and limited unique depth.
drain-richards-bay,Drain Cleaning in Richards Bay,Landing Pages/drain,Richards Bay,true,292,0.798,false,legacy_unclassified,keep_review,/plumbers/richards-bay,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
drain-scottburgh,Drain Cleaning in Scottburgh,Landing Pages/drain,Scottburgh,true,221,0.861,false,legacy_unclassified,merge_review,/plumbers/south-coast,High template similarity and limited unique depth.
drain-tongaat,Drain Cleaning in Tongaat,Landing Pages/drain,Tongaat,true,221,0.861,false,legacy_unclassified,merge_review,/services/blocked-drains,High template similarity and limited unique depth.
drain-umdloti,Drain Cleaning in Umdloti,Landing Pages/drain,Umdloti,true,221,0.861,false,legacy_unclassified,merge_review,/services/blocked-drains,High template similarity and limited unique depth.
drain-umhlanga,Drain Cleaning in Umhlanga,Landing Pages/drain,Umhlanga,true,279,0.881,false,legacy_unclassified,merge_review,/plumbers/durban,High template similarity and limited unique depth.
drain-verulam,Drain Cleaning in Verulam,Landing Pages/drain,Verulam,true,221,0.861,false,legacy_unclassified,merge_review,/services/blocked-drains,High template similarity and limited unique depth.
drain-westville,Drain Cleaning in Westville,Landing Pages/drain,Westville,true,279,0.881,false,legacy_unclassified,merge_review,/plumbers/pinetown-hillcrest,High template similarity and limited unique depth.
list-your-plumbing-business-kzn,How do I list my plumbing business on KZN Plumbers?,Business Listing,KwaZulu-Natal,true,513,0.685,false,legacy_unclassified,keep_review,/,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
advertise-plumbing-services-durban,How do I advertise my plumbing services in Durban?,Business Listing,Durban,true,697,0.693,false,legacy_unclassified,keep_review,/plumbers/durban,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
plumbing-leads-kzn,How do I get more plumbing leads in KwaZulu-Natal?,Business Listing,KwaZulu-Natal,true,598,0.665,false,legacy_unclassified,keep_review,/,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
grow-plumbing-business-south-africa,How can I grow my plumbing business in South Africa?,Business Listing,KwaZulu-Natal,true,703,1.000,false,legacy_unclassified,keep_review,/,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
plumbing-jobs-online-kzn,How do I find plumbing jobs online in KwaZulu-Natal?,Business Listing,KwaZulu-Natal,true,545,0.604,false,legacy_unclassified,keep_review,/,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
durban-water-outages-2026,Why does Durban keep experiencing water outages in 2026?,Editorial / Blog,Durban,true,677,0.519,false,legacy_unclassified,keep_review,/plumbers/durban,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
cost-ignoring-plumbing-problems-commercial-buildings,What is the cost of ignoring plumbing problems in commercial buildings?,Editorial / Blog,KwaZulu-Natal,true,619,0.381,false,legacy_unclassified,keep_review,/services/commercial,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
reduce-water-usage-durban-restrictions,How can Durban homeowners reduce water usage during restrictions?,Editorial / Blog,Durban,true,599,0.527,false,legacy_unclassified,keep_review,/plumbers/durban,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
responsibility-plumbing-repairs-tenant-landlord-municipality,"Who is responsible for plumbing repairs: tenant, landlord or municipality?",Editorial / Blog,KwaZulu-Natal,true,740,0.655,false,legacy_unclassified,keep_review,/,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
detect-hidden-water-leak-kzn,How do I detect a hidden water leak before it becomes expensive?,Editorial / Blog,KwaZulu-Natal,true,747,1.000,false,legacy_unclassified,keep_review,/,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
areas-affected-durban-water-outages,Which areas are most affected by Durban water outages?,Editorial / Blog,Durban,true,577,0.300,false,legacy_unclassified,keep_review,/plumbers/durban,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
durban-businesses-water-outages-impact,How are Durban businesses losing money during water outages?,Editorial / Blog,Durban,true,550,0.322,false,legacy_unclassified,keep_review,/plumbers/durban,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
what-to-do-no-water-durban,What should I do when my area has no water in Durban?,Editorial / Blog,Durban,true,633,0.516,false,legacy_unclassified,keep_review,/plumbers/durban,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
